DATA,LABEL
Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system,0
The estimator shall apply selected recycled parts to the collision estimate,0
The product shall send a meeting confirmation to the meeting organizer,0
The Disputes System must be accessible by both internal and external users,0
The product shall allow an organizer to invite other employees to meetings,0
The system shall be able to call the seller or buyer to schedule an appointment,0
 If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,0
The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly,0
The available recycled parts information and their suppliers shall be returned to the user,0
System shall allow users to update their billing and contact information via the My Account section of the website,0
The product will notify employees of meeting invitations,0
The system shall have a MDI form that allows for the viewing of the graph and the data table,0
The system shall display the Events in a graph by time,0
 Program AdministratorsNursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name  phone number  email  status full time or part time  and program of study,0
A Program of Study shall consist of a program name and listing of required classes both clinical and nonclinical that must be completed,0
 For any systematic nonuser initiated action that occurs on a case such as the disputes aging process  a case activity will be generated  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case,0
The leads washing functionality will validate all leads received by the web service for valid data,0
The product shall record all the equipment that has been reserved,0
 Website shall request  and authorize credit card payment before allowing a user to stream a movie,0
 When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players,0
The Dispute System shall provide the users with the ability to follow up on a dispute case via followup actions  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user,0
 For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered,0
 The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion,0
 Daily usage statistics should be logged  and accessible by the administrator,0
The product shall assign the organizers contact information to each meeting they create,0
The system shall link Events back to either the Sync Matrix 10 or the Exercise Managment Tool 10 applications for modifications,0
 The product shall end a game when a hit by the offensive player results in sinking the last of the defensive players ships  which had not been previously marked as sunk,0
 When the hit results in sinking a ship  the product shall notify the players that the ship was sunk,0
The realtor shall be notified of new client appointments after automatic synchronization with office system,0
The product shall allow the player to position ships diagonally on their grid,0
 The display shall have two regions  left 23 of the display is graphical  right 13 of the display is a data table,0
The adjuster shall request a recycled parts audit of the collision estimate,0
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort,0
The product shall be able to store new room equipment,0
 viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator,0
The preferred repair facility ratings shall be saved by the system,0
 The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter Clinical site  general information on labs held at that location  dates and times of all labs held there,0
The ratings shall be from a scale of 110,0
The audit report shall include the total score of the audit which sums the indivual line items,0
The product shall prevent the player from overlapping ships on their grid,0
 Prepaid cards shall be distributed via email  or via a printed paper card,0
 The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter,0
Website must be able to support free trial periods with various parameters set by the Izogn Manager,0
 The system shall be able to display a printable summary for individual nursing students  which will include but not be limited to student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in,0
 A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs,0
The product will display an available status for unreserved conference rooms,0
The product shall display room equipment according to search parameters,0
 Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year,0
The recycled parts search results provided to the estimator shall be retrieved by the system,0
The product shall display a map of the company building showing conference room locations,0
The system shall display clear property images in the search results,0
 Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids,0
Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep,0
The Disputes System must provide different levels of access with regard to disputes case initiation and followup actions,0
Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,0
The leads washing functionality will verify the users authentication and rights to make parameter updates,0
Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,0
The Disputes System must provide the ability to view existing dispute cases,0
Only registered customers can purchase streaming movies,0
The product will allow priviledged users to view meeting schedules in multiple reporting views,0
 A nonclinical class shall specify the course name  lecture room requirements  and instructor needs,0
The product shall update existing conference rooms,0
PME Subsystem shall allow building product menus based on the list of products kept in the accounting system,0
The system shall display Events or Activities,0
 The vehicle location shall include street address  city  state  and zipcode,0
Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System,0
The system will display a blank set of ratings if there are not ratings yet defined,0
 When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn,0
 All streaming movie sales will be logged in the database  and accessible by the administrator,0
 For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss,0
 The report of needed classes shall include but not be limited to classes to be offered  number of sections needed  number of labs needed  and room types needed,0
The product shall have a customizable Look and Feel,0
The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users,0
Students added to a cohort shall be eligible for the cohorts Program of Study,0
 When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player,0
The top 14 of the table will hold events that are to occur sequentially,0
Product formula ingredients shall allow defining substitutionary ingredients,0
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment,0
 The Disputes System must provide a confirmation to the user upon the creation of a chargeback request The confirmation must contain the following information the dispute case number  the type of chargeback requested pending or immediate  and the date that the merchant response is due,0
The Disputes System shall provide update access capability for authorized users of the application,0
The product shall allow a player to position ships horizontally on their grid,0
 For each turn  the product shall identify one player as offensive status and one player as defensive status,0
 The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information the dispute case number  the type of retrieval requested copy  original or portfolio  and the date that the merchant response is due,0
The bottom 34 of the table will hold events that occur according to its relevance to current time,0
The system shall offer a display of all the Events in the exercise,0
A Program AdministratorNursing Staff Member shall be able to add a new nursing student to the system,0
The product shall allow a user to remove himself or herself from the list of players at any time,0
The user shall select to view the preferred repair facility ratings,0
The system shall offer the ability to pause and resume the refresh of data,0
The System shall allow generation of Inventory Quantity Adjustment documents on demand,0
 The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a students status from full time to part time and moving a student to a different clinical section,0
 Once a game is initiated  the product shall display an offensive grid to each player,0
The user shall enter new ratings based on the audit report,0
If the leads score falls within the low average then it will be returned to the supplying vendor,0
 At the start of each turn  the product shall notify each player of his or her status,0
 The system shall be able to display a printable summary for individual clinical labs  which will include but not be limited to class name  class number  lab section  listing of students enrolled  instructor  days  time  and location,0
 A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab,0
The search radius shall be between 1 and 30 miles,0
Classes for a given cohort shall not conflict with regards to the time and day that they are offered,0
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection,0
 Product shall allow entering  storing and modifying product menus used by POS terminals,0
The leads washing functionality will have an interface in which lead data parameters can be maintained,0
System will allow customers to pay for a streaming movie with a prepaid card,0
 When a game is ended  the product shall notify the players that the game is ended,0
If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system,0
The product shall prevent a player from viewing the offensive or defensive grids of the other player,0
 The System shall allow entering  storing and modifying product formulas,0
Program AdministratorsNursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section,0
The product shall allow a user to identify himself or herself as a player,0
The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program AdministratorsNursing Staff Members planning purposes,0
The Disputes System must prevent external users from requesting original receipts Requests for original receipts are restricted to internal users,0
The user shall be able to get driving directions to a selected property,0
The system shall allow a Program AdministratorNursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class,0
If a lead is scored to the high range the system will supply the lead data and score to the enterprise system,0
The product shall notify building personnel of equipment transport requests,0
 If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,0
Website shall allow customers to add their own movie review for a selected movie,0
 System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website,0
The audit report shall be displayed to the user,0
 For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered,0
The product shall display conference rooms according to search parameters,0
 For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player,0
The system shall display Events in a vertical table by time,0
 Clinical site information shall include but not be limited to the name of the site  contact person  and contact information,0
The product shall be able to delete room equipment,0
The audit report shall be available to other adjusters at later points in time,0
 Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation,0
 The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,0
 The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes,0
The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,0
The Disputes System must allow the user to create three unique types of ticket retrieval requests  The three types of ticket retrieval requests are 1 Request for original receipt 2 Request for a copy of the receipt or 3 Request for a portfolio A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt,0
Vendor will submit a credit validation record to be applied to the enterprise billing system,0
 Program AdministratorsNursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department  including the Program of study name  and required classes for that Program of Study,0
The leads washing functionality will store any potential lead duplicates returned by the enterprise system,0
The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead,0
The adjuster shall review the collision estimate,0
 When a game is ended  the product shall allow each player to remove himself or herself from the list of players,0
The system shall allow a real estate agent to query MLS information,0
Website shall allow the Izogn administrator to approve a review posted by a customer,0
 The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohorts program of study and changes to a given weeks schedule lab cancelled this week due to instructor illness,0
 The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown,0
The system shall filter data by Venues and Key Events,0
The Disputes System shall prevent the creation of duplicate dispute requests 100 of the time,0
The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas,0
Any disputes cases that have been closed for over 6 months must be purged from the online disputes database,0
100 of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course,9
The product shall retain the customers buying preferences and information,9
An anonymous survey will show that 70 of customers are comfortable purchasing streaming movies after 2 weeks using the website,9
 An employee will be able to successfully use the product within a few minutes  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms,9
The product shall use symbols and words that are naturally understandable by users familiar with websites,9
The system shall be intuitive to the Program AdministratorsNursing Staff Members,9
The product shall provide Monitoring ServicesThe product shall be easy for System Administrators and DBAs to use after two weeks of usage,9
The system shall be used by realtors with no training,9
The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status,9
The product shall allow for intuitive searching of available conference rooms,9
90 of untrained realtors shall be able to install the product on their device without printed instructions,9
The website will use standard Internet conventions when interacting with the user,9
The product shall use symbols and words that are naturally understandable by the realtor community,9
 The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion With a week of training prior to product implementation  98 of the users shall complete their budgets within the stipulated time,9
The application shall ask the user to confirm dropping a player or trading a player before performing the action,9
The system shall use symbols and words that are naturally understandable by the user community,9
The product shall be easy to use 90 of users will be able to successfully reserve a conference room within 5 minutes of product use,9
The product shall make the users want to use it 80 of the users surveyed report they are regularly using the product after the first 2 weeks postlaunch,9
The product shall be easy to learn by Adjusters and Collision Estimators  The product shall be learned with two days onsite training,9
 The product shall be available to players who understand English  Spanish and French  The product shall allow the user to select the language upon accessing the product,9
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students,9
The product shall use a standard navigation menu familiar to most web users,9
 Users shall be able to reach the add drop and trade player pages with one click from the team owners page,9
The product shall be intuitive and selfexplanatory  Nine out ten users shall be able to successfully complete a game with no training,9
 The product shall be translated into foreign languages other than the target market countries languages in future releases  For each emerging target market  it shall take no more than 5 days to configure the product for that markets language,9
The product shall allow the user to select a chosen language from one of the target market countries,9
An anonymous survey will show that 95 of customers are comfortable using and purchasing prepaid cards after a month of using the system,9
The product shall provide PortalsThe product shall help System Administrators to analyze the transactions with adhoc reporting and KPIs Key Performance Indicators,9
 If projected  the data must be understandable On a 10x10 projection screen  90 of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,9
The product shall be easy to use by Adjusters and Collision Estimators  95 of Adjusters and Collision Estimators shall find the product easy to use,9
The product shall be intuitive and selfexplanatory    90 of new users shall be able to start the display of Events or Activities within 90 minutes of using the product,9
The system must use a point and click interface 100 of all selection and navigation functionality must be able to be activatedselected by either a mouse or a keyboard,9
The product should be able to be used by 90 of novice users on the Internet,9
A new user must be able to be added to the system within 10 minutes  90 of new users are able to log into the system within 10 minutes,9
The system shall be easy to learn by callers and supervisors Callers and supervisors shall learn how to use the system within 10 minutes,9
Users shall feel satisfied using the product  85 of all users will be satisfied with the product,9
Rreports must be easy to generate eports must be generated within one button click and exported within one button click after selecting the report,9
All of the users shall be able to use the system after one day of training,9
The product shall increase productivity of Collision Estimators 80 of the Collision Estimators shall agree their productivity has increase within 1 month of using the product,9
100 of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2day training course,9
The interface shall be easy to use 90 of users should be able to successfully use the system to generate a report on their first use The interface should adhere to IBM usability standards,9
The product shall be able to display calendar dates and times according to the users locale  90 of survey respondents from each target market country will find that the date and time formatting of the product is correct,9
100 of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course,9
All CCR users shall receive training before the WCS system is deployed One training session will be held for 100 of CCR users before system deployment based on a CCR user being available,9
2 out of 3 Program AdministratorsNursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals,9
The system shall be easy to use by callers and supervisors Callers and supervisors must be able to accomplish any system task within 2 minutes,9
Only authorized users shall have access to students personal information,8
 Only authorized user shall access the RFS system ONLY users that exist in the UAS system  with the RFS system assigned to their roles  shall access the RFS system and use it,8
Only authorized users shall have access to clinical site information,8
The system shall reveal private information only in compliance with the organizations information policy,8
The System shall maintain consistent security  Any changes in user passwords andor permissions should take affect in all parts of the System,8
All additions of new users and modifications to users access shall be recorded on the User Report,8
The product shall ensure that only supervisors can view schedule of all callersThe product must ensure that supervisors are allowed to access advertise empty time slots,8
The product shall have audit capabilitiesThe product shall store messages for a minimum of one year for audit and transaction tracking purposes,8
 The product shall have securityThe product shall provide authentication  and authorization,8
All credit card information will be encrypted in the database,8
The product shall ensure that only company employees or external users with companyapproved user IDs may have product access  100 of all logons shall be by either company employees or external users with companyapproved user IDs,8
 The website shall protect itself from intentional abuse  and notify the administrator at all occurrences,8
The Commissioner will be the only authorized user per league to adjust league settings,8
Only users with Update access must be able to initiate dispute requests,8
Only valid data shall be entered into the system  No invalid data shall be entered into the system,8
Only collision estimators shall search for recycled parts  Users without the collision estimator role shall not have access to the search for recycled parts,8
Only adjusters can request recycled parts audit reports No users without an adjuster role shall request recycled parts audits,8
The system shall notify customers of changes to its information policy,8
The system shall protect private information in accordance with the organizations information policy,8
Only managers are able to perform search queries for reservations by user  100 of all search queries for reservations by user shall be from logons of only management logons,8
The system shall only be accessed by authorized Corporate Community Grants CCR employees Users must be authenticated using their IBM intranet user name and password,8
 The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website,8
The System shall granularly control access rights to all major subsystems  It should be possible to assign access rights to all subsystems independently,8
The product shall free of computer viruses,8
The website shall prevent its data from being corrupted when incorrect data is entered in,8
 All customer information will be stored on a secure database  accessible only to authorized personnel,8
Only registered realtors shall be able to access the system,8
Only the System Administrator shall be able to reset a revoked user logon account,8
Every user of the system shall be authenticated and authorized,8
The product shall provide players no access to information that might reveal the identity of another player,8
 A customer can only stream a movie if they purchased it  and are within the 2 day viewing period,8
The product shall have the ability to receive automatic software updates as new threats emerge  100 of customers will be able to receive automatic software updates transmitted to the installed product,8
All updates to data files or database must be initiated from the Disputes System,8
The product shall ensure that only supervisors can enter a callers scheduleThe product must ensure that supervisors are allowed to access advertise empty time slots,8
The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced,8
The Disputes application shall manipulate and view business data Users will not have direct access to data files or databases,8
The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing users access level  The report will be reviewed for auditing purposes,8
The product shall information Security The product shall enable privacy by encryption WSSecurity and Integrity Checking,8
 All credit card information will be secured on the server  and only accessible by authorized Izogn administrators  Information will be encrypted in the database,8
 If a user account is revoked  it can only be reinstantiated by the System Administrator,8
Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students personal information,8
Only authorized personnel can access sales information,8
The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests,8
One insurance company shall not be able to view another insurance companys claim data,8
The streaming server will have antivirus software to prevent infection of malicious viruses,8
The Disputes application shall interface with the Statement Database The Statement Database provides the transaction details to the Disputes System All transaction details must be obtained from the Statement Database,5
We must be able to interface with any HTML browser,5
The product must be able to interface with various email servers The product shall be able to send email,5
The system shall interface with the faculty central server,5
Website must be fully operational with MSN TV2,5
The product shall interface with the ChoiceParts system once per day at approximately 100 AM,5
The product shall be platform independentThe product shall enable access to any type of development environment and platform,5
The product shall be able to be installed in any operating environment within 2 days,5
The product shall interface CSR and DatastreamThe product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems,5
All aspects of the website shall be accessed by a web browser over the Internet,5
A secondary database will be used to store historical statistics and data,5
The product shall interface with the Choice Parts System  This provides the feed of recycled parts data,5
The System shall not require additional third party licenses resulting in royalty fees,5
 A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product,5
 The product must make use of webapplication server technology  Open source examples include Apache web server  Tomcat  and the JBoss application server,5
The product will function alongside server software on any operating system where the Java runtime can be installed,5
Website must interface with the CyberSource API to process credit card transactions,5
The Disputes application shall interface with the Letters application  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process All letter requests must be sent to the Print Letter Utility application,5
The product shall be available for distribution via the Internet as a binary or ZIP file,5
The Brio portion of the WCS system must be able to export files in spreadsheet form Microsoft Excel and Lotus 123 formats  Brio will provide buttons in the user interface that produceexport reports in xls or 123 file formats,5
 We must be able to interface with the following browsers IE 5X  60  Netscape 6x  7x  8x and Firefox 10,5
The product must be developed with the J2SEJ2EE programming language libraries,5
The product must be able to interface with any HTML browser  The product shall transmit data between the user and the product without problems The product shall display HTML properly in 80 of all HTML browsers tested minimum is to test 8 browsers,5
Movies shall be encoded and streamed via Windows Media Player 90,5
The system shall be used within the specifications defined by the computers used by the Program AdministratorsNursing Staff Members,5
The product shall be supported using the corporate support center,5
The system shall operate within the Windows XP Professional operating system,5
The website should use Flash to provide animation on the home page,5
The System shall be able to automatically backup business data and restore them on demand,5
 The product is expected to integrate with multiple database management systems  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access,5
 The product must work with most database management systems DBMS on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network,5
98 of the user workstations shall meet the minimum software requirements prior to implementation Microsoft Internet Explorer 50 Microsoft NET Framework 11 Microsoft Internet Explorer Web Controls,5
The Disputes applications shall interface with the Merchant Information Database  The Merchant Information Database provides detailed information with regard to the merchant All merchant detail information shall be obtained from the Merchant Information Database,5
Product installations and upgrades shall be handled by the middleware technology team within established launch time frames,5
 For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions,5
 The RFS system should be able to easily interface with the BDW environment  in order to load the data 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process  every year The data will be as of October monthend Test files 7 shall be loaded up to 5 times throughout the year  from the BDW,5
The maintenance of the product will fall within the established corporate maintenance windows,5
 The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows  Monday  Saturday 300am to 400am EST Sunday 100amd to 500am EST,5
The same hardware supporting the current website will be used to support the new system,5
The product must support Mozilla Firefox 10 and above,5
The product shall be used in office environments,5
 The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data,5
The System shall utilize currently owned computer equipment,5
 System shall let customers cancel their account  process shall take no longer than 2 minutes  Database will mark the account as inactive  and user will not be able to log into the website,6
 On a 56k connection  the system response time for all operations must be no more than 6 seconds 90 of the time,6
 While streaming a movie  buffering should only occur if there is latency in the users connection,6
The product shall poll the system for messages every secondThe product shall poll the system for new messages at a maximum of every 1 second,6
The preferred repair facility ratings shall be saved within 5 seconds The save shall occur within 5 seconds,6
The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds,6
The response shall be fast enough to avoid interrupting the users flow of thought  90 of tasks shall complete within 5 seconds  98 of tasks shall complete within 8 seconds,6
 Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below,6
Total lead cycle time must be completed in 5 minutes for 90 of lead volume between the business hours of 8AM CST to 8PM CST then 3 minutes for 99 of lead volume during off business hours,6
System shall let administrator deactivate a customer account in under 1 minute Customer will no longer be able to access the website,6
The Disputes application shall support 350 concurrent users without any degradation of performance in the application,6
The system shall refresh the display every 60 seconds,6
The product shall provide Asynchronous MessagingThe product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,6
System shall let the administrator addremove categories on the website in under 5 minutes,6
 When purchasing a streaming movie or prepaid card via credit card  the processing time should have a maximum response time of 15 seconds,6
The product shall able to handle a large number of games simultaneously,6
System shall let administrators generate unique prepaid pins in under 2 minutes and generate an Excel file with the generated PINs,6
 On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90 of the time,6
The product shall respond fast to keep uptodate data in the display,6
System shall let customers register on the website as a pay as you go user in under 5 minutes,6
The product shall produce search results in an acceptable time,6
The response time shall be fast enough to maintain the flow of the game  The response time shall be no more than 2 seconds for 95 of responses and no more than 4 for the remaining responses,6
The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle,6
Izogn Administrator must be able to add new products to the website within 2 minutes,6
System shall let existing customers log into the website with their email address and password in under 5 seconds,6
The response time shall be fast enough to maintain the flow of the game The response time shall be no more than 2 seconds for 95 of responses and no more than 4 for the remaining responses,6
The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds,6
System shall let customers register on the website as a unlimited movie subscriber user in under 10 minutes,6
The System shall allow for a minimum of  6 users to work at the same time,6
 The product interface should be fast The response time of the product interface should not exceed 2 seconds 90 of the time For 10 of the time  the response time should not be more than 10 secondsnot be more than 10 seconds,6
 Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds,6
The product shall synchronize with the office system every hour,6
The product shall protect the identity of the players The product shall provide players no access to information that might reveal the identity of another player,6
The recycled parts audit report shall be returned to the user within 10 seconds  The audit report shall be returned within 10 seconds,6
System shall let Izogn Manager access sales and usage statistics in under 2 minutes,6
The product shall provide Dynamic Change Support and Transparent resource additionThe product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day,6
For leads that process longer than 25 seconds the system will record the event and duration,6
The website shall not be offensive to religious or ethnic groups,3
The website shall be attractive to all audiences  The website shall appear to be fun and the colors should be bright and vibrant,3
The product shall display the grids within a circle as a view from a periscope,3
The appearance of the product shall appear professional,3
The interface must summarize the data in a fashion thats appealing to CCR management Every report type must have at least one high level summary shown in the results dashboardinterface,3
The application shall match the color of the schema set forth by Department of Homeland Security,3
 The interface shall have a simple look In the interface and usability survey  90 of beta testers must report that the interface is adequately simple,3
The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications,3
The product shall have a conservative and professional appearance,3
The look and feel of the system shall conform to the user interface standards of the smart device,3
 The intranet pages should display appropriately in all resolutions  from 800x600 and higher The display of all the pages will be correct in 95 of the resolutions  prior to implementation The remaining 5 will be corrected within a week of notification of the incorrect display,3
 When the offensive player takes a shot  the product shall simulate the sound of a ship at sea,3
 The user interface shall have standard menus  buttons for navigation,3
The system shall use IBM and CCR branding standards The interface must have one IBM logo and one CCR logo,3
The message board shall contain the 5 most recently posted messages on the league page The messages will contain up to the first 150 characters of the message,3
The system shall have a professional appearance,3
Each page shall contain a similar format with action items in one location and navigation buttons in a different location,3
 When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target,3
The system interface will use CCR nomenclature The system must use the same nomenclature used in the existing WCS system and reports,3
 The products Look and Feel shall be able to incorporate aspects of the customers organization such as logo  branding  and identity,3
 When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target,3
The product shall simulate the look of ships at sea,3
The product shall display each type of ship in a grid using an image of the specific type of ship,3
The product shall comply with corporate User Interface Guidelines,3
 The website design should be modern  clean  and concise,3
The product shall comply with City of Chicago Application Development Guide FrameworkApplication Development Framework will provide structured Graphical User Interface,3
The system shall be available for use between the hours of 8am and 6pm,1
The WCS system shall be available at all times as long as IBMs internal intranet W3 is accessible The WCS system will be available 95 of the time IBMs internal intranet W3 is available,1
The system must be available for use between 700AM and 1159PM all days of the year,1
Defect reports will be available to technical units on a 24x7 basis,1
 Out of 1000 accesses to the system  the system is available 999 times,1
The website shall achieve 995 up time,1
 The RFS system should be available 247  especially during the budgeting period The RFS system shall be available 90 of the time all year  and 98 during the budgeting period 2 of the time  the system will become available within 1 hour of the time that the situation is reported,1
The system shall achieve 95 up time,1
 Velkat staff will be available for phone support between 7am7pm  MF to provide technical support to the Izogn administrators,1
 Aside from server failure  the software product shall achieve 9999 up time,1
 All movies shall be streamed on demand  at any time of the day,1
 The product shall be available 24 hours per day  seven days per week,1
The application shall have a downtime of at most 10 minutes per year,1
The product shall achieve a 98 uptime The product shall not fail more than 2 of the available online time,1
system shall be able to handle all of the user requestsusage during business hours,7
